English,Spanish,Where it appears
2155550000 (no dashes needed),2155550000 (sin guiones),Sign in
4-digit PIN,PIN de 4 dígitos,Sign in
"9001, 2155550101 or name@email.com","9001, 2155550101 o nombre@correo.com",Sign in
Account Activation,Activación de cuenta,Sign in
Activate Account,Activar cuenta,Sign in
Activating...,Activando...,Sign in
and can be used once.,y se puede usar una sola vez.,Sign in
Ask your supervisor to confirm your badge number.,Pida a su supervisor que confirme su número de empleado.,Sign in
Back to Login,Volver al inicio de sesión,Sign in
Back to Sign In,Volver al inicio de sesión,Sign in
Badge Number,Número de empleado,"Sign in, Profile"
Badge number,Número de empleado,Sign in
"Badge Number, Phone or Email","Número de empleado, teléfono o correo",Sign in
Checking your link...,Revisando su enlace...,Sign in
Choose your new 4-digit PIN.,Elija su nuevo PIN de 4 dígitos.,Sign in
Confirm PIN,Confirmar PIN,Sign in
Confirm PIN *,Confirmar PIN *,Sign in
Confirm your badge number and choose your 4-digit PIN.,Confirme su número de empleado y elija su PIN de 4 dígitos.,Sign in
Contact your supervisor to have a new link sent.,Hable con su supervisor para que le envíen un enlace nuevo.,Sign in
Dark Mode,Modo oscuro,Sign in
Email Address,Correo electrónico,Sign in
Email Address *,Correo electrónico *,Sign in
"Enter the badge number, phone number or email address on your account and we will email you a link to choose a new PIN.","Escriba el número de empleado, teléfono o correo de su cuenta y le enviaremos un enlace para elegir un PIN nuevo.",Sign in
"Enter your badge number, phone number or email address.","Escriba su número de empleado, teléfono o correo electrónico.",Sign in
Fill in {field}.,Complete {field}.,Sign in
First Name,Nombre,Sign in
First name,Nombre,Sign in
First Name *,Nombre *,Sign in
Forgot your PIN?,¿Olvidó su PIN?,Sign in
Forgotten your badge number? You can also sign in with your phone number or your email address.,¿Olvidó su número de empleado? También puede entrar con su teléfono o su correo electrónico.,Sign in
"If that matches an account on file, a reset link is on its way. The link is good for one hour.","Si eso coincide con una cuenta registrada, le enviamos un enlace. El enlace sirve por una hora.",Sign in
"If you do not have an email address on file, no link can reach you. Contact your supervisor to have your PIN reset directly.","Si no tiene un correo registrado, no hay cómo enviarle el enlace. Hable con su supervisor para que le restablezca el PIN directamente.",Sign in
Language,Idioma,"Sign in, Settings"
Last Name,Apellido,Sign in
Last name,Apellido,Sign in
Light Mode,Modo claro,Sign in
Loading...,Cargando...,"Sign in, Schedule, Pickup, Inspect, Notifications"
name@email.com,nombre@correo.com,Sign in
New Employee? Register Here,¿Empleado nuevo? Regístrese aquí,Sign in
New PIN (4 digits),PIN nuevo (4 dígitos),Sign in
New Staff Registration,Registro de personal nuevo,Sign in
Not you? Sign out,¿No es usted? Cerrar sesión,Sign in
Phone Number,Número de teléfono,Sign in
Phone Number *,Número de teléfono *,Sign in
PIN,PIN,Sign in
PIN (4 digits),PIN (4 dígitos),Sign in
PIN (4 digits) *,PIN (4 dígitos) *,Sign in
PIN saved. Signing you in...,PIN guardado. Iniciando su sesión...,Sign in
PIN set. Signing you in...,PIN guardado. Iniciando su sesión...,Sign in
Register,Registrarse,Sign in
Registering...,Registrando...,Sign in
Request a New Link,Pedir un enlace nuevo,Sign in
Reset Your PIN,Restablecer su PIN,Sign in
Save PIN,Guardar PIN,Sign in
Saving...,Guardando...,"Sign in, Settings, Profile"
Send Reset Link,Enviar enlace,Sign in
Sending...,Enviando...,"Sign in, Speak Up"
